pos,ID,group,sex,age,flies
1,A197,Jul09,M,A,0
1,A190,Jul09,M,A,0
1,A193,Jul09,M,A,1
1,A195,Jul09,M,A,0
1,A192,Jul09,M,A,0
1,A101,Nov09,M,SI,0
1,A102,Nov09,F,A,1
1,A103,Nov09,M,A,0
1,A105,Nov09,M,A,1
1,A106,Nov09,F,A,1
1,A107,Nov09,M,A,1
1,A108,Nov09,F,A,0
1,A109,Nov09,F,A,0
1,A110,Nov09,M,A,0
1,A111,Nov09,F,A,0
1,A112,Nov09,M,JUV,1
1,A113,Nov09,M,A,0
1,A114,Jan10,M,A,0
0,A115,Jan10,M,SI,1
1,A117,Jan10,M,A,1
1,A118,Jan10,M,A,0
1,A119,Jan10,M,A,0
1,A120,Jan10,F,A,1
1,A121,Jan10,M,A,1
1,A122,Jan10,M,SI,0
1,A123,Jan10,M,A,1
1,A124,Jan10,M,A,0
1,A126,Jan10,M,A,0
1,A128,Jan10,M,A,0
1,A099,Jan10,F,SI,0
1,A130,Jan10,M,SI,0
1,A131,Jan10,M,A,1
1,A132,Jan10,F,A,0
1,A134,Jan10,M,A,0
1,A135,Jan10,M,A,0
1,A136,Jan10,M,A,0
1,A141,Jan10,F,A,0
1,A142,Jan10,F,A,0
0,A143,Jan10,F,A,0
1,A144,Jan10,F,A,0
1,A146,Jan10,F,A,1
1,A147,Jan10,F,A,1
1,A148,Jan10,F,A,0
1,A149,Jan10,F,A,0
1,A150,Jan10,F,A,0
1,A151,Jan10,F,A,1
1,A152,Jan10,F,SI,1
1,A153,Jan10,F,A,0
1,A188,Jan10,F,A,0
1,A155,Jan10,F,A,0
1,A156,Jan10,F,A,1
1,A157,Jan10,F,A,0
0,A158,Jan10,F,A,0
1,A160,Jan10,F,A,0
1,A001,Jan10,F,SI,0
1,A162,Jan10,F,A,1
0,A163,Jan10,F,A,1
1,A164,Jan10,F,A,1
1,A166,Jan10,F,SI,1
1,A167,Jan10,F,A,1
1,A168,Jan10,F,A,1
