Ct,logCt,Markers,Coinfection,NumSpecies,Species,Date,Day
35.55,3.570940156,4,1,2,E3/Ew,2009-07-28,0
,,1,0,1,E3,2009-07-28,0
41,3.713572067,4,1,2,E3/E4,2009-07-28,0
,,1,0,1,Ew,2009-07-28,0
,,2,1,2,E3/Ew,2009-07-28,0
38,3.63758616,3,1,2,E3/E5,2009-07-28,0
44.07,3.785779279,4,0,1,E3,2009-07-28,0
39.89,3.686125666,2,0,1,E4,2009-07-28,0
,,1,0,1,E4,2009-07-28,0
44.96,3.805773206,2,0,1,E4,2009-11-05,100
36.46,3.596215769,2,0,1,E5,2009-11-05,100
38.41,3.648317842,3,0,1,E3,2009-11-05,100
40,3.688879454,3,0,1,E4,2009-11-05,100
37.86,3.633895146,4,1,2,E4/E5,2009-11-05,100
39.33,3.671987586,4,0,1,new1,2009-11-05,100
38.48,3.650138626,4,0,1,Ew,2009-11-05,100
,,1,0,1,E3,2009-11-05,100
44.62,3.798182189,2,0,1,E3,2009-11-05,100
26.53,3.278276168,4,1,2,Ew/new1,2009-11-05,100
30.14,3.405853193,4,0,1,E5,2009-11-05,100
,,1,0,1,E3,2009-11-05,100
29.15,3.372454913,4,1,2,E3/E4,2009-11-05,100
33.72,3.518091133,4,0,1,Ew,2010-01-28,184
,,3,1,2,E3/Ew,2010-01-28,184
,,2,1,2,E4/Ew,2010-01-28,184
32.5,3.481240089,3,1,2,Ew/new1,2010-01-28,184
39.29,3.670970034,4,0,1,Ew,2010-01-28,184
,,3,1,2,E3/E4,2010-01-28,184
,,3,0,1,E4,2010-01-28,184
32.38,3.477540948,3,0,1,E3,2010-01-28,184
39.69,3.681099267,4,0,1,Ew,2010-01-28,184
30.03,3.402196882,4,1,2,E4/Ew,2010-01-28,184
,,3,0,1,Ew,2010-01-28,184
40.43,3.699572084,3,0,1,new1,2010-01-28,184
,,1,0,1,Ew,2010-01-28,184
,,1,0,1,E3,2010-01-28,184
,,2,0,1,new2,2010-01-28,184
,,3,0,1,E4,2010-01-28,184
30.63,3.421979921,3,0,1,Ew,2010-01-28,184
,,1,0,1,Ew,2010-01-28,184
28.64,3.354804342,4,0,1,E3,2010-01-28,184
,,3,0,1,Ew,2010-01-28,184
,,3,1,3,E2/E3/E5,2010-01-28,184
,,2,1,2,E2/Ew,2010-01-28,184
37.35,3.620332912,4,1,2,E3/E4,2010-01-28,184
,,3,0,1,Ew,2010-01-28,184
40.3,3.696351469,4,0,1,E5,2010-01-28,184
,,3,0,1,Ew,2010-01-28,184
27.41,3.31090791,2,0,1,E3,2010-01-28,184
26.92,3.292869505,3,0,1,E5,2010-01-28,184
,,2,0,1,E3,2010-01-28,184
28.43,3.347444926,4,1,4,E3/E5/Ew/new1,2010-01-28,184
31.13,3.438171984,4,0,1,Ew,2010-01-28,184
25.26,3.229222117,3,0,1,E5,2010-01-28,184
26.29,3.269188639,3,1,2,E5/Ew,2010-01-28,184
