Ct,logCt,Markers,Coinfection,NumSpecies,Species,Date,Day,Group
33.61,3.514823642,4,1,2,E2/E4,2012-01-22,908,wild flies
35.89,3.580458705,4,0,1,Ew,2012-01-22,908,wild flies
29.60,3.387774361,4,0,1,E5,2012-01-22,908,wild flies
,,2,1,2,E4/new3,2012-01-22,908,wild flies
,,2,1,2,Ew/new3,2012-01-22,908,wild flies
33.55,3.513036863,4,0,1,E5,2012-01-22,908,wild flies
31.22,3.441058915,4,0,1,Ew,2012-01-22,908,wild flies
26.89,3.29175447,4,1,2,E3/E5,2012-01-22,908,wild flies
38.22,3.643358939,3,1,2,E3/new3,2012-01-22,908,wild flies
36.97,3.610106773,4,0,1,E5,2012-01-22,908,wild flies
32.53,3.48216274,4,1,2,E3/Ew,2012-01-22,908,wild flies
30.75,3.425889994,4,1,2,E3/E5,2012-01-22,908,wild flies
34.25,3.533686565,4,0,1,Ew,2012-01-22,908,wild flies
29.08,3.370050653,4,1,2,E3/Ew,2012-01-22,908,wild flies
31.83,3.460409241,4,0,1,E5,2010-03-11,226,captive flies
29.24,3.375537635,4,0,1,E5,2010-03-11,226,captive flies
31.97,3.464797963,4,0,1,Ew,2010-03-11,226,captive flies
38.21,3.643097261,2,0,1,Ew,2010-03-11,226,captive flies
33.17,3.501645853,4,0,1,Ew,2010-03-11,226,captive flies
29.78,3.393837027,4,0,1,E3,2010-03-11,226,captive flies
,,3,1,2,E3/new3,2010-03-11,226,captive flies
33.93,3.524299579,4,1,2,E5/Ew,2010-03-11,226,captive flies
35.25,3.562465529,4,0,1,Ew,2010-03-11,226,captive flies
37.26,3.617920365,2,0,1,Ew,2010-03-11,226,captive flies
33.70,3.517497837,4,0,1,Ew,2010-03-11,226,captive flies
,,2,0,1,Ew,2010-03-11,226,captive flies
35.16,3.559909073,4,0,1,Ew,2010-03-11,226,captive flies
38.06,3.639163862,2,0,1,new2,2010-03-11,226,captive flies
,,3,0,1,Ew,2010-03-11,226,captive flies
,,1,0,1,Ew,2010-03-11,226,captive flies
35.26,3.562749177,4,1,2,E5/Ew,2010-03-11,226,captive flies
33.30,3.505557397,4,0,1,E2,2010-03-11,226,captive flies
34.72,3.54731589,4,0,1,E5,2010-03-11,226,captive flies
33.79,3.520164901,4,0,1,E5,2010-03-11,226,captive flies
32.69,3.487069221,4,0,1,Ew,2010-03-11,226,captive flies
32.49,3.48093235,4,0,1,Ew,2010-03-11,226,captive flies
30.44,3.415757533,4,0,1,E5,2010-03-11,226,captive flies
34.77,3.548754946,4,0,1,Ew,2010-03-11,226,captive flies
,,1,0,1,Ew,2012-01-12,898,wild bats
,,1,0,1,Ew,2012-01-12,898,wild bats
,,2,1,2,E2/E5,2012-01-12,898,wild bats
28.21,3.339676525,4,1,3,E3/E5/new1,2012-01-12,898,wild bats
,,3,0,1,Ew,2012-01-12,898,wild bats
28.50,3.349904087,4,1,2,E3/Ew,2012-01-12,898,wild bats
41.64,3.729061244,4,0,1,Ew,2012-01-12,898,wild bats
,,3,1,2,E3/Ew,2012-01-12,898,wild bats
28.71,3.357245494,4,1,3,E3/E5/new2,2012-01-12,898,wild bats
29.13,3.371768571,4,1,2,E3/E5,2012-01-12,898,wild bats
29.87,3.396854632,4,1,2,E3/Ew,2012-01-12,898,wild bats
26.99,3.295466427,4,0,1,E4,2012-01-12,898,wild bats
27.23,3.304319307,4,1,3,E3/E5/new2,2012-01-12,898,wild bats
,,2,1,2,E4/new2,2012-01-12,898,wild bats
,,2,0,1,Ew,2012-01-12,898,wild bats
29.93,3.398861322,3,1,2,E2/new1,2012-01-12,898,wild bats
29.04,3.36867419,4,1,3,E1/E2/E3,2012-01-12,898,wild bats
,,2,1,2,E3/Ew,2012-01-12,898,wild bats
,,1,0,1,Ew,2012-01-12,898,wild bats
,,3,0,1,E5,2012-01-12,898,wild bats
43.49,3.772531027,4,0,1,Ew,2012-01-12,898,wild bats
,,1,0,1,E3,2012-01-12,898,wild bats
44.09,3.786232999,4,0,1,Ew,2012-01-12,898,wild bats
36.92,3.60875341,4,0,1,Ew,2012-01-12,898,wild bats
,,3,0,1,E5,2012-01-12,898,wild bats
28.52,3.350605596,3,1,2,E3/Ew,2012-01-12,898,wild bats
31.32,3.444256871,4,1,3,E3/E5/new1,2012-01-12,898,wild bats
28.24,3.340739413,4,1,4,E3/E5/Ew/new1,2012-01-12,898,wild bats
,,2,0,1,Ew,2012-01-12,898,wild bats
31.15,3.438814245,4,1,3,E3/E5/new2,2012-01-12,898,wild bats
30.94,3.432049845,3,1,2,E4/E5,2012-01-12,898,wild bats
,,2,1,2,E4/Ew,2012-01-12,898,wild bats
30.60,3.421000009,4,1,2,E3/E5,2012-01-12,898,wild bats
28.04,3.333632062,3,0,1,E2,2012-01-12,898,wild bats
34.60,3.543853682,3,1,2,E3/new2,2012-01-12,898,wild bats
,,3,1,2,E4/E5,2012-01-12,898,wild bats
,,2,1,2,E3/new2,2012-01-12,898,wild bats
,,1,0,1,E3,2012-01-12,898,wild bats
30.25,3.409496184,4,0,1,Ew,2012-01-12,898,wild bats
32.10,3.46885603,4,1,2,E5/Ew,2012-01-12,898,wild bats
,,2,1,2,E4/new1,2012-01-12,898,wild bats
31.41,3.447126314,4,1,2,E3/E5,2012-01-12,898,wild bats
30.03,3.402196882,4,1,2,E2/E3,2012-01-12,898,wild bats
32.20,3.471966453,3,0,1,Ew,2012-01-12,898,wild bats
,,2,0,1,Ew,2012-01-12,898,wild bats
23.31,3.148882453,3,1,2,E5/Ew,2012-01-12,898,wild bats
27.27,3.305787197,4,1,3,E3/E5/Ew,2012-01-12,898,wild bats
