"","method","x","n","mean","lower","upper"
"1","wilson",24,28,0.857142857142857,0.685101978364747,0.943009946802506
"2","wilson",14,18,0.777777777777778,0.547854156837874,0.909990718913983
"3","wilson",47,50,0.94,0.837829083111618,0.979385029651026
"4","wilson",23,28,0.821428571428571,0.644085752106571,0.921214980543957
"5","wilson",12,18,0.666666666666667,0.437494672959451,0.837212252491663
"6","wilson",42,50,0.84,0.71485783936965,0.916625793219666
"7","wilson",18,28,0.642857142857143,0.458303065144278,0.792941704922623
"8","wilson",11,18,0.611111111111111,0.386190416022379,0.796947534278364
"9","wilson",33,50,0.66,0.521538260502326,0.775630507774999
"10","wilson",17,28,0.607142857142857,0.424090442965972,0.764343134584204
"11","wilson",11,18,0.611111111111111,0.386190416022379,0.796947534278364
"12","wilson",21,50,0.42,0.29375003354712,0.557665582314218
"13","wilson",2,28,0.0714285714285714,0.0198120641153057,0.22645362568399
"14","wilson",5,18,0.277777777777778,0.12499753379554,0.508726565602974
"15","wilson",28,50,0.56,0.423060280216569,0.688378007887428
