"","method","x","n","mean","lower","upper"
"1","wilson",4,12,0.333333333333333,0.138120091091213,0.6093779111272
"2","wilson",3,22,0.136363636363636,0.0474900371405525,0.333349871665717
"3","wilson",24,73,0.328767123287671,0.231944858647,0.442709938598113
"4","wilson",17,61,0.278688524590164,0.18188543892566,0.401714305881702
"5","wilson",7,72,0.0972222222222222,0.0478963199736558,0.187350457951269
"6","wilson",7,63,0.111111111111111,0.0548754866238372,0.212046557500825
"7","wilson",5,69,0.072463768115942,0.0313477714299815,0.15867394209399
"8","wilson",7,67,0.104477611940299,0.0515376976878286,0.20031283048738
"9","wilson",0,58,0,0,0.0621178557872029
"10","wilson",2,81,0.0246913580246914,0.00679758742366403,0.0856272592219652
"11","wilson",7,87,0.0804597701149425,0.0395202710898688,0.156881889909221
"12","wilson",11,80,0.1375,0.0785471432433911,0.229671000669866
"13","wilson",8,85,0.0941176470588235,0.0484650612922177,0.174870519686248
"14","wilson",12,81,0.148148148148148,0.0868270820995976,0.241331570612102
