Sequence_ID	Clone	Host	Isolation source	Country
Seq1	Eh6-0110-R117	Eidolon helvum	Blood	Ghana
Seq2	Eh6-0110-R12	Eidolon helvum	Blood	Ghana
Seq3	Eh6-0110-R35	Eidolon helvum	Blood	Ghana
Seq4	Eh6-0110-R4	Eidolon helvum	Blood	Ghana
Seq5	Eh6-0110-R70	Eidolon helvum	Blood	Ghana
Seq6	Eh6-0510-A106	Eidolon helvum	Blood	Ghana
Seq7	Eh6-0510-A110	Eidolon helvum	Blood	Ghana
Seq8	Eh6-1109-Q131	Eidolon helvum	Blood	Ghana
Seq9	Eh6-1109-Q135	Eidolon helvum	Blood	Ghana
Seq10	Eh6-170112-D053	Eidolon helvum	Blood	Ghana
Seq11	Eh6-170112-D086	Eidolon helvum	Blood	Ghana
Seq12	Eh6-170112-D094	Eidolon helvum	Blood	Ghana
Seq13	Eh7-0110-R16	Eidolon helvum	Blood	Ghana
Seq14	Eh7-0110-R89	Eidolon helvum	Blood	Ghana
