Sequence_ID	Clone	Host	Isolation source	Country
Seq1	Eh7-0310-A131	Eidolon helvum	Cyclopodia greefi bat fly	Ghana
Seq2	Eh6-0110-R43	Eidolon helvum	Blood	Ghana
Seq3	Eh6-0310-A146	Eidolon helvum	Blood	Ghana
Seq4	Eh6-0310-A147	Eidolon helvum	Blood	Ghana
Seq5	Eh6-0310-A188	Eidolon helvum	Blood	Ghana
Seq6	Eh6-0311-A083	Eidolon helvum	Blood	Ghana
Seq7	Eh6-0311-A192	Eidolon helvum	Blood	Ghana
Seq8	Eh6-0311-BJ1	Eidolon helvum	Blood	Ghana
Seq9	Eh6-0510-A106	Eidolon helvum	Blood	Ghana
Seq10	Eh6-0510-A151	Eidolon helvum	Blood	Ghana
Seq11	Eh6-0510-A155	Eidolon helvum	Blood	Ghana
Seq12	Eh6-0510-A166	Eidolon helvum	Blood	Ghana
Seq13	Eh6-0510-A188	Eidolon helvum	Blood	Ghana
Seq14	Eh6-0710-A095	Eidolon helvum	Blood	Ghana
Seq15	Eh6-0710-A155	Eidolon helvum	Blood	Ghana
Seq16	Eh6-0710-BJ1	Eidolon helvum	Blood	Ghana
Seq17	Eh6-0710-BJ4	Eidolon helvum	Blood	Ghana
Seq18	Eh6-0711-B153	Eidolon helvum	Blood	Ghana
Seq19	Eh6-0910-A090	Eidolon helvum	Blood	Ghana
Seq20	Eh6-0910-A108	Eidolon helvum	Blood	Ghana
Seq21	Eh6-0910-A111	Eidolon helvum	Blood	Ghana
Seq22	Eh6-0910-A115	Eidolon helvum	Blood	Ghana
Seq23	Eh6-0910-A123	Eidolon helvum	Blood	Ghana
Seq24	Eh6-0910-A151	Eidolon helvum	Blood	Ghana
Seq25	Eh6-0910-B111	Eidolon helvum	Blood	Ghana
Seq26	Eh6-1109-Q131	Eidolon helvum	Blood	Ghana
Seq27	Eh6-1110-A102	Eidolon helvum	Blood	Ghana
Seq28	Eh6-1110-A115	Eidolon helvum	Blood	Ghana
Seq29	Eh6-1110-A130	Eidolon helvum	Blood	Ghana
Seq30	Eh6-1110-A147	Eidolon helvum	Blood	Ghana
Seq31	Eh6-1110-BJ1	Eidolon helvum	Blood	Ghana
Seq32	Eh6-170112-D046	Eidolon helvum	Blood	Ghana
Seq33	Eh6-170112-D074	Eidolon helvum	Blood	Ghana
Seq34	Eh7-0110-R16	Eidolon helvum	Blood	Ghana
Seq35	Eh7-0110-R79	Eidolon helvum	Blood	Ghana
Seq36	Eh7-0310-A153	Eidolon helvum	Blood	Ghana
Seq37	Eh7-0310-A193	Eidolon helvum	Blood	Ghana
Seq38	Eh7-0510-A193	Eidolon helvum	Blood	Ghana
Seq39	Eh7-0710-A153	Eidolon helvum	Blood	Ghana
Seq40	Eh7-170112-D048	Eidolon helvum	Blood	Ghana
Seq41	Eh7-170112-D062	Eidolon helvum	Blood	Ghana
Seq42	Eh7-170112-D069	Eidolon helvum	Blood	Ghana
Seq43	Eh7-170112-D084	Eidolon helvum	Blood	Ghana
Seq44	Eh7-170112-D085	Eidolon helvum	Blood	Ghana
Seq45	Eh7-170112-D090	Eidolon helvum	Blood	Ghana
