Bartonella species,Isolate/Strain/Clone,GenBank accession number,Nickname,Group
B. apis,BBC0122,NZ_CP015625,B._apis_BBC0122_NZ_CP015625,1
B. tamiae,Th239,NZ_JH725147,B._tamiae_Th239_NZ_JH725147,1
Brucella abortus,Biovar-3 Tulya,NZ_DS999886,Brucella_abortus_Biovar-3_Tulya_NZ_DS999886,1
Tokpelaia hoelldoblerii,Hsal,CP017315,Tokpelaia_hoelldoblerii_Hsal_CP017315,1
B. sp. Cyclopodia greefi,Cg_23_Q22-1,JN172038,B._sp._Cyclopodia.greefi_Cg_23_Q22-1_JN172038,2
B. sp. Cyclopodia greefi,Cg_303-1,JN172055,B._sp._Cyclopodia.greefi_Cg_303-1_JN172055,2
B. sp. Cyclopodia greefi,Cg_366-1,JN172052,B._sp._Cyclopodia.greefi_Cg_366-1_JN172052,2
B. sp. Cyclopodia greefi,Cg_371,JN172053,B._sp._Cyclopodia.greefi_Cg_371_JN172053,2
B. sp. Cyclopodia greefi,Cg_374,JN172050,B._sp._Cyclopodia.greefi_Cg_374_JN172050,2
B. sp. Cyclopodia greefi,Cg_401,JN172072,B._sp._Cyclopodia.greefi_Cg_401_JN172072,2
B. sp. Cyclopodia greefi,Cg_417-2,JN172063,B._sp._Cyclopodia.greefi_Cg_417-2_JN172063,2
B. sp. Cyclopodia greefi,Cg_423-1,JN172058,B._sp._Cyclopodia.greefi_Cg_423-1_JN172058,2
B. sp. Cyclopodia greefi,Cg_424,JN172064,B._sp._Cyclopodia.greefi_Cg_424_JN172064,2
B. sp. Cyclopodia greefi,Cg_426-1,JN172062,B._sp._Cyclopodia.greefi_Cg_426-1_JN172062,2
B. sp. Cyclopodia greefi,Cg_436-3,JN172061,B._sp._Cyclopodia.greefi_Cg_436-3_JN172061,2
B. sp. Cyclopodia greefi,Cg_443,JN172068,B._sp._Cyclopodia.greefi_Cg_443_JN172068,2
B. sp. Cyclopodia greefi,Cg_465-2,JN172067,B._sp._Cyclopodia.greefi_Cg_465-2_JN172067,2
B. sp. Cyclopodia greefi,Cg_713-2,JN172066,B._sp._Cyclopodia.greefi_Cg_713-2_JN172066,2
B. sp. Cyclopodia greefi,Cg_G31-1,JN172043,B._sp._Cyclopodia.greefi_Cg_G31-1_JN172043,2
B. sp. Cyclopodia greefi,Cg_G38-2,JN172044,B._sp._Cyclopodia.greefi_Cg_G38-2_JN172044,2
B. sp. Cyclopodia greefi,Cg_GG243-3,JN172048,B._sp._Cyclopodia.greefi_Cg_GG243-3_JN172048,2
B. sp. Cyclopodia greefi,Cg_GG48,JN172046,B._sp._Cyclopodia.greefi_Cg_GG48_JN172046,2
B. sp. Cyclopodia greefi,Cg_K1-2,JN172035,B._sp._Cyclopodia.greefi_Cg_K1-2_JN172035,2
