Bartonella species,Isolate/Strain/Clone,GenBank accession number,Nickname,Group
B. apis,BBC0122,NZ_CP015625,B._apis_BBC0122_NZ_CP015625,1
B. tamiae,Th239,NZ_JH725147,B._tamiae_Th239_NZ_JH725147,1
Brucella abortus,Biovar-3 Tulya,NZ_DS999886,Brucella_abortus_Biovar-3_Tulya_NZ_DS999886,1
Tokpelaia hoelldoblerii,Hsal,CP017315,Tokpelaia_hoelldoblerii_Hsal_CP017315,1
B. sp. Eidolon helvum,E1-105,HM363770,B._sp._Eidolon.helvum_E1-105_HM363770,2
B. sp. Eidolon helvum,E2-114,HM363771,B._sp._Eidolon.helvum_E2-114_HM363771,2
B. sp. Eidolon helvum,E3-106,HM363772,B._sp._Eidolon.helvum_E3-106_HM363772,2
B. sp. Eidolon helvum,E4 B39301,KJ999687,B._sp._Eidolon.helvum_E4_B39301_KJ999687,2
B. sp. Eidolon helvum,E5 B40014,KJ999689,B._sp._Eidolon.helvum_E5_B40014_KJ999689,2
B. sp. Eidolon helvum,Eh6-0110-R117,MN250775,B._sp._Eidolon.helvum_Eh6-0110-R117,3
B. sp. Eidolon helvum,Eh6-0110-R12,MN250776,B._sp._Eidolon.helvum_Eh6-0110-R12,3
B. sp. Eidolon helvum,Eh6-0110-R35,MN250777,B._sp._Eidolon.helvum_Eh6-0110-R35,3
B. sp. Eidolon helvum,Eh6-0110-R4,MN250778,B._sp._Eidolon.helvum_Eh6-0110-R4,3
B. sp. Eidolon helvum,Eh6-0110-R70,MN250779,B._sp._Eidolon.helvum_Eh6-0110-R70,3
B. sp. Eidolon helvum,Eh6-0510-A106,MN250780,B._sp._Eidolon.helvum_Eh6-0510-A106,3
B. sp. Eidolon helvum,Eh6-0510-A110,MN250781,B._sp._Eidolon.helvum_Eh6-0510-A110,3
B. sp. Eidolon helvum,Eh6-1109-Q131,MN250782,B._sp._Eidolon.helvum_Eh6-1109-Q131,3
B. sp. Eidolon helvum,Eh6-1109-Q135,MN250783,B._sp._Eidolon.helvum_Eh6-1109-Q135,3
B. sp. Eidolon helvum,Eh6-170112-D053,MN250784,B._sp._Eidolon.helvum_Eh6-170112-D053,3
B. sp. Eidolon helvum,Eh6-170112-D086,MN250785,B._sp._Eidolon.helvum_Eh6-170112-D086,3
B. sp. Eidolon helvum,Eh6-170112-D094,MN250786,B._sp._Eidolon.helvum_Eh6-170112-D094,3
B. sp. Eidolon helvum,Eh7-0110-R16,MN250787,B._sp._Eidolon.helvum_Eh7-0110-R16,3
B. sp. Eidolon helvum,Eh7-0110-R89,MN250788,B._sp._Eidolon.helvum_Eh7-0110-R89,3
B. sp. Eidolon helvum,Ew-111,HM363773,B._sp._Eidolon.helvum_Ew-111_HM363773,2
