Bartonella species,Isolate/Strain/Clone,GenBank accession number,Nickname,Group
B. apis,BBC0122,NZ_CP015625,B._apis_BBC0122_NZ_CP015625,1
B. tamiae,Th239,DQ395180,B._tamiae_Th239_DQ395180,1
Brucella abortus,Biovar-3 Tulya,X95889,Brucella_abortus_Biovar-3_Tulya_X95889,1
Tokpelaia hoelldoblerii,Hsal,CP017315,Tokpelaia_hoelldoblerii_Hsal_CP017315,1
B. sp. Eidolon helvum,E1-105,MF288105,B._sp._Eidolon.helvum_E1-105_MF288105,2
B. sp. Eidolon helvum,E2-114,MF288106,B._sp._Eidolon.helvum_E2-114_MF288106,2
B. sp. Eidolon helvum,E3-106,MF288107,B._sp._Eidolon.helvum_E3-106_MF288107,2
B. sp. Eidolon helvum,E4 B39301,MF288109,B._sp._Eidolon.helvum_E4_B39301_MF288109,2
B. sp. Eidolon helvum,E5 B40014,KM233479,B._sp._Eidolon.helvum_E5_B40014_KM233479,2
B. sp. Eidolon helvum,Eh6-0110-R12,MN249715,B._sp._Eidolon.helvum_Eh6-0110-R12_MN249715,3
B. sp. Eidolon helvum,Eh6-0710-A106,MN249716,B._sp._Eidolon.helvum_Eh6-0710-A106_MN249716,3
B. sp. Eidolon helvum,Eh6-0910-A106,MN249717,B._sp._Eidolon.helvum_Eh6-0910-A106_MN249717,3
B. sp. Eidolon helvum,Eh6-1109-Q131,MN249718,B._sp._Eidolon.helvum_Eh6-1109-Q131_MN249718,3
B. sp. Eidolon helvum,Eh6-1109-Q135,MN249719,B._sp._Eidolon.helvum_Eh6-1109-Q135_MN249719,3
B. sp. Eidolon helvum,Eh6-1110-A106,MN249720,B._sp._Eidolon.helvum_Eh6-1110-A106_MN249720,3
B. sp. Eidolon helvum,Ew-111,MF288108,B._sp._Eidolon.helvum_Ew-111_MF288108,2
